"element_id","sentence_id","negative","neutral","positive","sentence"
"x1310","x1",NA,"a lot of to you and congratch csk","love","A lot of love to you and congratch CSK"
"x1311","x1",NA,"once once a a is always cskvkkr keep and believe in dhoni again of the table","king king calm top","Once a king is always a king CSKvKKR keep calm and believe in Dhoni once again top of the table"
"x1312","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1313","x1","bad","csk todays was was one and only the russellthe ground so but russell can do anything despite having inj","star","csk todays star was one and only THE RUSSELLthe ground was so bad but Russell can do anything despite having inj"
"x1314","x1","unbelievable stopped","csk and kkr kkr had match match match chenai has with wickets even the cant be by cricketers","great won","Csk and kkr had Great match Chenai has won with wickets unbelievable match even the match cant be stopped by kkr cricketers"
"x1315","x1","steals","an an by record the the of show all t","incredible incredible performance new young lion","An incredible performance by An incredible new record The young lion of steals the show all t"
"x1316","x1",NA,"csk over knightriders by wickets yellove whistlepodu cskvskkr anbuden btcmedia btcmediaoff","wins","CSK Wins over KnightRiders by Wickets

Yellove WhistlePodu CSKvsKKR AnbuDen BTCmedia BTCmediaoff"
"x1317","x1",NA,"again and how to the lions for yet another hil csk yellove togetherwewin htt","win congratulations victory","win again and how Congratulations to the Lions for yet another victory 
HIL CSK Yellove TogetherWeWin htt"
"x1318","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1319","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1320","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1321","x1",NA,"some off spin from from bhajji pa textbook stuff cskvkkr","classical","Some Classical Off Spin from Bhajji pa 

Textbook stuff from 

CSKvKKR"
"x1322","x1","sad","iplmemes cskvskkr about kkr its dominating by csk russel tried his","feeling completely performance best","Iplmemes

CSKvsKKR feeling sad about KKR its completely dominating performance by csk 

Russel tried his best"
"x1323","x1","fortress","csk keep the the streak on at their thesuperkings match by wickets s","winning win comfortably","CSK keep the winning streak on at their fortress TheSuperKings win the match comfortably by wickets s"
"x1324","x1","bothered","gamebanayeganame but zomato is not about their namecskvkkr vivoipl csk",NA,"GameBanayegaName but Zomato is not bothered about their nameCSKvKKR VIVOIPL CSK"
"x1325","x1",NA,"how dare csk",NA,"How dare CSK"
"x1326","x1","steals","an an by record the the of show all t","incredible incredible performance new young lion","An incredible performance by An incredible new record The young lion of steals the show all t"
"x1327","x1",NA,"csk the match responsibile innings from thala is yellove whistlepodu cskvkkr vivoi","won happy","CSK won the match Responsibile innings from Thala is happy Yellove WhistlePodu CSKvKKR VIVOI"
"x1328","x1","defeated","csk csk csk kkr by wickets yellove is now the table toppers with points has matc","won won","CSK won defeated KKR by wickets 

Yellove 

 CSK is now the Table toppers with points

 CSK has won matc"
"x1329","x1","loss losing","a for wining are part of the gamecongratulations csk to this match very comfo","tough win","A tough loss for Wining losing are part of the gameCongratulations CSK to win this match very comfo"
